"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible","bikes_allowed","trip_note","route_direction"
"SMNW_M","101-03.140522.32","101-03.140522.32.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.150522.64","101-03.150522.64.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.160522.15","101-03.160522.15.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.200522.16","101-03.200522.16.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.210522.32","101-03.210522.32.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.220522.64","101-03.220522.64.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.230522.15","101-03.230522.15.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.270522.16","101-03.270522.16.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.280522.32","101-03.280522.32.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.290522.64","101-03.290522.64.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.300522.15","101-03.300522.15.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-04.210222.15","101-04.210222.15.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.250222.16","101-04.250222.16.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.260222.32","101-04.260222.32.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.270222.64","101-04.270222.64.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.280222.15","101-04.280222.15.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.040322.16","101-04.040322.16.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.050322.32","101-04.050322.32.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.060322.64","101-04.060322.64.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.070322.15","101-04.070322.15.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.110322.16","101-04.110322.16.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.120322.32","101-04.120322.32.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.130322.64","101-04.130322.64.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.140322.15","101-04.140322.15.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.180322.16","101-04.180322.16.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.190322.32","101-04.190322.32.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.200322.64","101-04.200322.64.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.210322.15","101-04.210322.15.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.250322.16","101-04.250322.16.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.260322.32","101-04.260322.32.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.270322.64","101-04.270322.64.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.280322.15","101-04.280322.15.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.010422.16","101-04.010422.16.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.020422.32","101-04.020422.32.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.030422.64","101-04.030422.64.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.040422.15","101-04.040422.15.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.080422.16","101-04.080422.16.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.090422.32","101-04.090422.32.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.100422.64","101-04.100422.64.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.110422.15","101-04.110422.15.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.150422.16","101-04.150422.16.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.160422.32","101-04.160422.32.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.170422.64","101-04.170422.64.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.180422.15","101-04.180422.15.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.220422.16","101-04.220422.16.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.230422.32","101-04.230422.32.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.240422.64","101-04.240422.64.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.250422.15","101-04.250422.15.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-04.290422.16","101-04.290422.16.0555","Chatswood","101-04","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
