"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence","shape_dist_traveled"
"SMNW.OUTBOUND","-33.7354756","150.9626916","319","26520.79"
"SMNW.OUTBOUND","-33.736084","150.9619319","320","26618.31"
"SMNW.OUTBOUND","-33.7364094","150.9614468","321","26675.96"
"SMNW.OUTBOUND","-33.7367734","150.9607913","322","26748.9"
"SMNW.OUTBOUND","-33.7369671","150.960369","323","26793.54"
"SMNW.OUTBOUND","-33.7372015","150.9597069","324","26860.18"
"SMNW.OUTBOUND","-33.7373102","150.9593253","325","26897.54"
"SMNW.OUTBOUND","-33.7374782","150.9585519","326","26971.59"
"SMNW.OUTBOUND","-33.7375372","150.9580802","327","27015.79"
"SMNW.OUTBOUND","-33.7375785","150.9571481","328","27102.29"
"SMNW.OUTBOUND","-33.7375653","150.9562066","329","27189.54"
"SMNW.OUTBOUND","-33.7375054","150.9552388","330","27279.47"
"SMNW.OUTBOUND","-33.7373497","150.9539943","331","27396.09"
"SMNW.OUTBOUND","-33.7372394","150.9533501","332","27457.02"
"SMNW.OUTBOUND","-33.7369492","150.9520639","333","27580.48"
"SMNW.OUTBOUND","-33.736733","150.9512884","334","27656.24"
"SMNW.OUTBOUND","-33.7358993","150.9491458","335","27875.27"
"SMNW.OUTBOUND","-33.7357873","150.94891","336","27900.41"
"SMNW.OUTBOUND","-33.7353815","150.9481339","337","27985.25"
"SMNW.OUTBOUND","-33.7352099","150.9478281","338","28019.39"
"SMNW.OUTBOUND","-33.7348784","150.9472956","339","28080.93"
"SMNW.OUTBOUND","-33.7346584","150.9469762","340","28119.29"
"SMNW.OUTBOUND","-33.7344347","150.9466915","341","28155.51"
"SMNW.OUTBOUND","-33.7343564","150.9466086","342","28167.11"
"SMNW.OUTBOUND","-33.733969","150.9462301","343","28222.57"
"SMNW.OUTBOUND","-33.7333563","150.9456776","344","28307.66"
"SMNW.OUTBOUND","-33.7329739","150.9453117","345","28361.97"
"SMNW.OUTBOUND","-33.7325457","150.9449586","346","28419.64"
"SMNW.OUTBOUND","-33.7323447","150.9448287","347","28444.98"
"SMNW.OUTBOUND","-33.7321522","150.9447112","348","28468.95"
"SMNW.OUTBOUND","-33.7318858","150.9445703","349","28501.25"
"SMNW.OUTBOUND","-33.7312241","150.9442528","350","28580.32"
"SMNW.OUTBOUND","-33.7309695","150.9441313","351","28610.73"
"SMNW.OUTBOUND","-33.7302455","150.9437953","352","28696.86"
"SMNW.OUTBOUND","-33.7298407","150.9435965","353","28745.39"
"SMNW.OUTBOUND","-33.7295206","150.943438","354","28783.81"
"SMNW.OUTBOUND","-33.7293433","150.9433575","355","28804.85"
"SMNW.OUTBOUND","-33.7291886","150.943288","356","28823.17"
"SMNW.OUTBOUND","-33.7286988","150.94303","357","28882.53"
"SMNW.OUTBOUND","-33.7283067","150.9427632","358","28932.56"
"SMNW.OUTBOUND","-33.7280062","150.9425245","359","28972.56"
"SMNW.OUTBOUND","-33.7276197","150.9422019","360","29024.83"
"SMNW.OUTBOUND","-33.7272423","150.9419122","361","29074.56"
"SMNW.OUTBOUND","-33.7270023","150.9417125","362","29106.98"
"SMNW.OUTBOUND","-33.7267894","150.9415545","363","29134.77"
"SMNW.OUTBOUND","-33.7266373","150.9414337","364","29155.01"
"SMNW.OUTBOUND","-33.7264026","150.9413043","365","29183.68"
"SMNW.OUTBOUND","-33.7260313","150.9411096","366","29228.64"
"SMNW.OUTBOUND","-33.7259827","150.9410852","367","29234.48"
"SMNW.OUTBOUND","-33.7257149","150.9409618","368","29266.31"
"SMNW.OUTBOUND","-33.725614","150.9409147","369","29278.33"
"SMNW.OUTBOUND","-33.7255087","150.940868","370","29290.78"
"SMNW.OUTBOUND","-33.7244323","150.9403895","371","29418.14"
"SMNW.OUTBOUND","-33.7236653","150.940045","372","29509.01"
"SMNW.OUTBOUND","-33.7231823","150.9398331","373","29566.07"
"SMNW.OUTBOUND","-33.7229478","150.9397304","374","29593.77"
"SMNW.OUTBOUND","-33.7226293","150.9395845","375","29631.6"
"SMNW.OUTBOUND","-33.7225345","150.939544","376","29642.76"
"SMNW.OUTBOUND","-33.7217223","150.9391764","377","29739.08"
"SMNW.OUTBOUND","-33.7213533","150.9390154","378","29782.64"
"SMNW.OUTBOUND","-33.7208553","150.938795","379","29841.53"
"SMNW.OUTBOUND","-33.7203728","150.938577","380","29898.74"
"SMNW.OUTBOUND","-33.7200549","150.9384318","381","29936.48"
"SMNW.OUTBOUND","-33.7198303","150.9383334","382","29963.01"
"SMNW.OUTBOUND","-33.7193062","150.9381014","383","30024.99"
"SMNW.OUTBOUND","-33.7190301","150.9379797","384","30057.63"
"SMNW.OUTBOUND","-33.7185947","150.9377836","385","30109.23"
"SMNW.OUTBOUND","-33.718082","150.9375289","386","30170.8"
"SMNW.OUTBOUND","-33.7178186","150.9373943","387","30202.57"
"SMNW.OUTBOUND","-33.7175061","150.9372375","388","30240.15"
"SMNW.OUTBOUND","-33.7172845","150.9371259","389","30266.82"
"SMNW.OUTBOUND","-33.7163436","150.9366677","390","30379.49"
"SMNW.OUTBOUND","-33.7157945","150.9364069","391","30445.02"
"SMNW.OUTBOUND","-33.7156436","150.936333","392","30463.1"
"SMNW.OUTBOUND","-33.7149691","150.9359835","393","30544.63"
"SMNW.OUTBOUND","-33.714568","150.9357746","394","30593.15"
"SMNW.OUTBOUND","-33.7141856","150.9355889","395","30638.93"
"SMNW.OUTBOUND","-33.7140318","150.9355109","396","30657.45"
